d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
728,1023,341,1.1070706585846968,1.1070706585846968,217.18276666505446,25168058140,0.459630257152558,g,86,86,1620,1.39488783984181e+16,4.6079350953357e+17,4.88961731787541e+18,2.10331512858037e+16,1.5184507390404e+17,8.649402943901e+15
736,1023,341,1.1072470151850078,1.1072470151850078,219.3192031190179,31496349049,0.459895584369819,g,87,87,1621,1.94695137916033e+16,6.37104732981764e+17,6.79446181444926e+18,2.90714377473063e+16,2.09951949893079e+17,1.20308691460785e+16
744,1023,341,1.10741966451754,1.10741966451754,221.45551368001128,39409950499,0.46015758500851,g,88,88,1622,2.71720003895602e+16,8.8086064969438e+17,9.44145707358444e+18,4.01809889930561e+16,2.90289286015108e+17,1.67333361472388e+16
752,1023,341,1.1075887258637356,1.1075887258637356,223.59170042403662,49304706996,0.460416351479125,g,89,89,1623,3.79175087141482e+16,1.21785527988578e+18,1.31197842651703e+19,5.5535012762978e+16,4.01360092240008e+17,2.32725053484542e+16
760,1023,341,1.107754314153248,1.107754314153248,225.7277653210692,61675010384,0.46067196706824,g,90,90,1624,5.29066957548228e+16,1.68374557218971e+18,1.82313166902635e+19,7.67547896746103e+16,5.5491909297388e+17,3.23652703197117e+16
768,1023,341,1.1079197111606531,1.1079197111606531,227.86341315309852,77100015581,0.460924595308598,g,90,90,1624,7.31451072743035e+16,2.32782918576469e+18,2.52053468098045e+19,1.06115818507796e+17,7.67192431979342e+17,4.47459652454546e+16
776,1023,341,1.1080786792561477,1.1080786792561477,229.99924004393012,96416998163,0.461174126401261,g,91,91,1625,1.02047872778599e+17,3.21824145128605e+18,3.50252997641794e+19,1.4665791847731e+17,1.06068520674191e+18,6.22243126698771e+16
784,1023,341,1.1082323512787617,1.1082323512787617,232.1349504214157,120599209189,0.461420650245743,g,92,92,1626,1.42324133808161e+17,4.4481582675043e+18,4.86604361689103e+19,2.02639937726861e+17,1.46609730402384e+18,8.65055608833987e+16
792,1023,341,1.1083850079038282,1.1083850079038282,234.27054593263955,150778278096,0.461664337818123,g,93,93,1627,1.98518977530188e+17,6.1493355470677e+18,6.76187444375822e+19,2.80047029075735e+17,2.02686779268391e+18,1.20281295777959e+17
800,1023,341,1.1085346707752166,1.1085346707752166,236.40602811198895,188486574824,0.461905180418766,g,94,94,1628,2.768729547309e+17,8.50095967121306e+18,9.39637590117991e+19,3.87015845481513e+17,2.80207556010506e+18,1.67235306598409e+17
808,1023,341,1.1086814195059977,1.1086814195059977,238.5413984407553,235597881508,0.462143221824643,g,95,95,1629,3.86112960212344e+17,1.17516586497902e+19,1.30573558310652e+20,5.34832780330299e+17,3.87369747424608e+18,2.32505634268916e+17
816,1023,341,1.1088253388859142,1.1088253388859142,240.67665833896132,294450974878,0.462378501607184,g,96,96,1630,5.38399005261508e+17,1.62450803800813e+19,1.81447701318898e+20,7.39092541272966e+17,5.3550438695365e+18,3.23232377710762e+17
824,1023,341,1.1089665101218484,1.1089665101218484,242.81180917036616,367965063984,0.462611055357907,g,97,97,1631,7.50672998085459e+17,2.24561894027625e+19,2.52144126665094e+20,1.02134194766157e+18,7.40272910367756e+18,4.49337123187921e+17
832,1023,341,1.1091050064180135,1.1091050064180135,244.94685224703778,459783934841,0.462840914997584,g,98,98,1632,1.04653656427224e+18,3.10414168425644e+19,3.50386153449595e+20,1.41135036660658e+18,1.02332114048733e+19,6.24605449451214e+17
840,1023,341,1.1092409032265476,1.1092409032265476,247.08178883327358,574454761088,0.463068109452617,g,99,99,1633,1.45886701092756e+18,4.29080030282063e+19,4.86906412456046e+20,1.95024804602184e+18,1.4145663372973e+19,8.68191362524082e+17
848,1023,341,1.109374266548815,1.109374266548815,249.21662014972148,717652819234,0.463292664694961,g,100,100,1634,2.03345682943601e+18,5.93097438737837e+19,6.76618687629231e+20,2.69485801271277e+18,1.95535520034695e+19,1.20670535034005e+18
856,1023,341,1.1095051464352608,1.1095051464352608,251.35134737711203,896462603558,0.463514603897736,g,101,101,1635,2.83407760888655e+18,8.19792192045674e+19,9.40245351619938e+20,3.72367658388868e+18,2.70282530109935e+19,1.67711282172532e+18
864,1023,341,1.1096330025506551,1.1096330025506551,253.48597168019506,1119845309660,0.46373393216069,g,102,102,1636,3.94925985283661e+18,1.13302787563652e+20,1.30648971167272e+21,5.14478409400143e+18,3.73567743222402e+19,2.33060062743929e+18
872,1023,341,1.1097591943256169,1.1097591943256169,255.62049412368518,1398595057984,0.463950704367308,g,103,103,1637,5.50316965591979e+18,1.56603689618291e+20,1.81553093431879e+21,7.1086474813399e+18,5.16351365354768e+19,3.23879630677236e+18
880,1023,341,1.1098831207903177,1.1098831207903177,257.7549158088332,1746572263920,0.464164920581832,g,104,104,1638,7.66779417749936e+18,2.16448494336585e+20,2.52290303157079e+21,9.82195709024166e+18,7.13694688828787e+19,4.50066179983658e+18
888,1023,341,1.1100070683602756,1.1100070683602756,259.88894284970075,2180028567136,0.46437665734621,g,104,104,1638,1.05971459436656e+19,2.99139000170648e+20,3.48673569065349e+21,1.35742705566018e+19,9.86349737833493e+19,6.22006392345591e+18
896,1023,341,1.110125364742719,1.110125364742719,262.0231663169978,2722599854043,0.464585776205567,g,105,105,1639,1.47615614367066e+19,4.13372680630559e+20,4.84439929268754e+21,1.8751834262881e+19,1.36305761326007e+20,8.6415110898133e+18
904,1023,341,1.1102429216146057,1.1102429216146057,264.15729206608165,3399063345120,0.464792422269022,g,106,106,1640,2.05640025025494e+19,5.7131060571022e+20,6.73178518436048e+21,2.59079373634093e+19,1.8839061503158e+20,1.20069422506662e+19
912,1023,341,1.1103581425789857,1.1103581425789857,266.29132112241706,4243498920795,0.464996565079168,g,107,107,1641,2.86436856202999e+19,7.89547073289083e+20,9.35412589139996e+21,3.57929252612557e+19,2.60363158688925e+20,1.66815591622301e+19
920,1023,341,1.1104715880562634,1.1104715880562634,268.42525442212434,5297085699186,0.465198231323341,g,108,108,1642,3.98954690631242e+19,1.09115399003148e+21,1.29982730552193e+22,4.94497237902154e+19,3.59833890870314e+20,2.31755232907145e+19
928,1023,341,1.1105831600598015,1.1105831600598015,270.5590929128067,6611667006145,0.465397429658545,g,109,109,1643,5.55628284954105e+19,1.50795554446292e+21,1.8062155592234e+22,6.83164151323987e+19,4.97300692922004e+20,3.2196117314355e+19
936,1023,341,1.110692747900814,1.110692747900814,272.6928375258956,8252023723523,0.465594168131268,g,110,110,1644,7.73754141018407e+19,2.08389978727943e+21,2.50984035307683e+22,9.43782917229458e+19,6.87261241815394e+20,4.47249606989939e+19
944,1023,341,1.110800488054141,1.110800488054141,274.8264891666074,10298613444915,0.465788461088845,g,111,111,1645,1.07741932341108e+20,2.87975632429574e+21,3.48754507484905e+22,1.30379652722415e+20,9.49763005471377e+20,6.21260747306546e+19
952,1023,341,1.1109064285714476,1.1109064285714476,276.96004873041244,12851873166795,0.465980320407,g,112,112,1646,1.50013461701415e+20,3.97947152439749e+21,4.84608142270442e+22,1.80110206368784e+20,1.31250022447852e+21,8.62930101009707e+19
960,1023,341,1.1110106117992835,1.1110106117992835,279.09351710048094,16037047675851,0.4661697577686,g,113,113,1647,2.08852524035357e+20,5.49902524404137e+21,6.73377240966222e+22,2.48804095507129e+20,1.81373638291358e+21,1.19854714415314e+20
968,1023,341,1.1111130801187086,1.1111130801187086,281.22689514855153,20010295763151,0.466356784891319,g,114,114,1648,2.90745928996539e+20,7.59865382796433e+21,9.35670203211663e+22,3.43690403721217e+20,2.50633759162757e+21,1.66461017990302e+20
976,1023,341,1.1112138746348115,1.1112138746348115,283.36018373599825,24966314952630,0.466541413561134,g,115,115,1649,4.04717859876628e+20,1.04997324106737e+22,1.30012048736983e+23,4.74753262887438e+20,3.46334364623369e+21,2.31178808168426e+20
984,1023,341,1.1113130350512224,1.1113130350512224,285.4933837147538,31147842443737,0.466723655688509,g,116,116,1650,5.63321454957827e+20,1.45080958000651e+22,1.80651112212376e+23,6.55781511394674e+20,4.78566403224051e+21,3.21041862627941e+20
992,1023,341,1.111410601626344,1.111410601626344,287.6264959280671,38857479766115,0.466903523409686,g,117,117,1651,7.84017741653874e+20,2.00462575513069e+22,2.51011616830727e+23,9.05818386284867e+20,6.61271072598561e+21,4.45814009960046e+20
1000,1023,341,1.111506608084167,1.111506608084167,289.75952121152017,48472502946560,0.467081028951199,g,118,118,1652,1.09109189465185e+21,2.76978904244891e+22,3.48772914250092e+23,1.25116226243011e+21,9.13707793215933e+21,6.19047646815943e+20
1008,1023,341,1.1116029271612324,1.1116029271612324,291.892167463191,60439068822325,0.467256230918758,g,118,118,1652,1.5074155653486e+21,3.8266466241615e+22,4.81852832277101e+23,1.7285633578698e+21,1.26234770547306e+22,8.5525523842383e+20
1016,1023,341,1.1116949693055713,1.1116949693055713,294.0250215110861,75401138081181,0.467429026175299,g,119,119,1653,2.09734230173813e+21,5.28636217895748e+22,6.69412139330021e+23,2.38716820673314e+21,1.74394168209904e+22,1.18735128820539e+21
1024,1023,341,1.111786506908785,1.111786506908785,296.1577910812109,94042564599272,0.467599521736402,g,120,120,1654,2.91828977709734e+21,7.30368732782835e+22,9.30088651370159e+23,3.29706485141086e+21,2.40952598409895e+22,1.64853242570543e+21
